,color,duration,gross,genres,facenumber_in_poster,language,content_rating,budget,title_year,imdb_score,aspect_ratio,director_avg_gross,director_avg_score,director_movies,actor_average_score,actor_average_gross,actor_movies,gross_class
980,Color,89.0,47553512.0,Action|Thriller,0.0,English,PG-13,50000000.0,2014.0,5.8,1.85,42575718.0,5.9,1,1.3703703703703702,7005234.407407408,4,5
981,Color,104.0,42610000.0,Action|Comedy|Crime|Thriller,1.0,English,R,55000000.0,1994.0,5.5,1.85,97900000.0,7.75,2,0.0,0.0,0,5
982,Color,106.0,41482207.0,Comedy|Fantasy|Horror,0.0,English,PG-13,50000000.0,1990.0,6.3,1.85,65218666.66666666,6.766666666666667,3,2.1555555555555554,20252675.222222224,3,5
983,Color,141.0,47105085.0,Crime|Drama,1.0,English,R,50000000.0,2014.0,7.4,2.35,48753032.5,6.300000000000002,2,5.115343915343916,107023536.36916786,46,5
984,Color,124.0,41256277.0,Action|Thriller,2.0,English,R,50000000.0,1997.0,5.9,2.35,0.0,0.0,0,0.6888888888888891,3859644.444444445,2,5
987,Color,114.0,40905277.0,Crime|Drama|Romance|Thriller,3.0,English,R,50000000.0,2003.0,6.5,2.35,32376323.5,6.65,2,3.1965277777777783,29603239.86111111,21,5
988,Color,101.0,38590500.0,Action|Adventure|Thriller,1.0,English,R,50000000.0,1994.0,4.4,2.35,0.0,0.0,0,1.6277777777777775,12031938.5,4,4
989,Color,93.0,39177541.0,Action|Adventure|Family|Fantasy,1.0,English,PG,50000000.0,2005.0,3.5,1.85,57419228.625,6.1,8,0.0,0.0,0,4
990,Color,119.0,39778599.0,Adventure|Drama|Thriller,0.0,English,R,50000000.0,2000.0,6.6,2.35,0.0,0.0,0,1.633333333333333,22537521.08333333,5,4
991,Color,119.0,37486138.0,Comedy|Drama|Romance,1.0,English,PG-13,50000000.0,2004.0,6.0,1.85,146266877.33333334,6.2,3,2.7444444444444436,24574533.05555555,7,4
992,Color,99.0,38105077.0,Action|Crime|Thriller,0.0,English,R,40000000.0,2009.0,6.4,2.35,70496802.0,8.2,1,0.0,0.0,0,4
993,Color,137.0,35168395.0,Drama|Romance|Sport,0.0,English,PG-13,50000000.0,1999.0,6.5,2.35,8712068.5,7.699999999999998,2,2.151851851851852,27320154.277777776,6,4
995,Color,117.0,32800000.0,Comedy|Crime|Drama|Thriller,1.0,English,R,40000000.0,1996.0,4.3,1.85,0.0,0.0,0,2.777777777777777,28993324.0,6,4
